pmid,pmcid,isopen,journal,date,year,month
30157877,PMC6114501,open, Reprod Health,2018-08-29,2018.0,8.0
30165703,,closed, J Infect Dis,2018-08-24,2018.0,8.0
30165548,,closed, J Infect Dis,2018-08-27,2018.0,8.0
30165370,PMC6117160,open, PLoS One,2018-08-30,2018.0,8.0
30161172,PMC6116983,open, PLoS One,2018-08-30,2018.0,8.0
30161101,,closed, MMWR Morb Mortal Wkly Rep,2018-08-31,2018.0,8.0
30158702,,closed, Nature,2018-08-29,2018.0,8.0
30158473,PMC6162552,open, Toxins (Basel),2018-08-29,2018.0,8.0
30157796,PMC6114840,open, BMC Psychiatry,2018-08-29,2018.0,8.0
30157702,,closed, Int J STD AIDS,2018-08-29,2018.0,8.0
30157230,PMC6114867,open, PLoS One,2018-08-29,2018.0,8.0
30157200,PMC6114509,open, PLoS One,2018-08-29,2018.0,8.0
30157086,,closed, AIDS,2018-09-10,2018.0,9.0
30154858,,closed, Obstet Gynecol Int,2018-08-01,2018.0,8.0
30154854,,closed, Int J Microbiol,2018-08-05,2018.0,8.0
30151125,PMC6102531,open, Ecol Evol,2015-10-22,2015.0,10.0
30153540,,closed, J Clin Anesth,2018-08-25,2018.0,8.0
30153349,,closed, Cytopathology,2018-08-28,2018.0,8.0
30152267,,closed, Reprod Health Matters,2018-08-28,2018.0,8.0
30151811,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151809,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151808,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151807,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151805,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151804,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151585,,closed, Methods Mol Biol,2018-01-01,2018.0,1.0
30151175,PMC6106172,open, Ecol Evol,2018-07-09,2018.0,7.0
30151171,PMC6106196,open, Ecol Evol,2018-07-06,2018.0,7.0
30150604,,closed, Viruses,2018-08-27,2018.0,8.0
30148757,,closed, Sex Transm Dis,2018-08-24,2018.0,8.0
30148731,,closed, J Acquir Immune Defic Syndr,2018-08-16,2018.0,8.0
30148140,PMC6088200,open, Mhealth,2018-07-23,2018.0,7.0
30147944,PMC6104751,open, BMJ Glob Health,2018-08-16,2018.0,8.0
30145260,,closed, Acta Trop,2018-08-23,2018.0,8.0
30144807,PMC6109322,open, Parasit Vectors,2018-08-25,2018.0,8.0
30143829,,closed, Bull Environ Contam Toxicol,2018-08-24,2018.0,8.0
30142218,PMC6108464,open, PLoS One,2018-08-24,2018.0,8.0
30141707,,closed, Int J Palliat Nurs,2018-08-02,2018.0,8.0
30140772,e00742,open, Heliyon,2018-08-20,2018.0,8.0
30139396,,closed, Animal,2018-08-24,2018.0,8.0
30139353,PMC6108107,open, BMC Public Health,2018-08-23,2018.0,8.0
