pmid,pmcid,isopen,journal,date,year,month
30165703,,closed, J Infect Dis,2018-08-24,2018.0,8.0
30165548,,closed, J Infect Dis,2018-08-27,2018.0,8.0
30165370,PMC6117160,open, PLoS One,2018-08-30,2018.0,8.0
30161172,PMC6116983,open, PLoS One,2018-08-30,2018.0,8.0
30158702,,closed, Nature,2018-09-01,2018.0,9.0
30158473,PMC6162552,open, Toxins (Basel),2018-08-29,2018.0,8.0
30157796,PMC6114840,open, BMC Psychiatry,2018-08-29,2018.0,8.0
30157702,,closed, Int J STD AIDS,2018-08-29,2018.0,8.0
30157200,PMC6114509,open, PLoS One,2018-08-29,2018.0,8.0
30154858,,closed, Obstet Gynecol Int,2018-08-01,2018.0,8.0
30154854,,closed, Int J Microbiol,2018-08-05,2018.0,8.0
30151125,PMC6102531,open, Ecol Evol,2015-10-22,2015.0,10.0
30153540,,closed, J Clin Anesth,2018-08-25,2018.0,8.0
30153349,,closed, Cytopathology,2018-08-28,2018.0,8.0
30152267,,closed, Reprod Health Matters,2018-01-01,2018.0,1.0
30151811,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151809,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151808,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151807,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151805,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151804,,closed, Eur Spine J,2018-08-27,2018.0,8.0
30151585,,closed, Methods Mol Biol,2018-01-01,2018.0,1.0
30151175,PMC6106172,open, Ecol Evol,2018-07-09,2018.0,7.0
30151171,PMC6106196,open, Ecol Evol,2018-07-06,2018.0,7.0
30150604,,closed, Viruses,2018-08-27,2018.0,8.0
30148757,,closed, Sex Transm Dis,2018-08-24,2018.0,8.0
30148731,,closed, J Acquir Immune Defic Syndr,2018-08-16,2018.0,8.0
30147944,PMC6104751,open, BMJ Glob Health,2018-08-16,2018.0,8.0
30145260,,closed, Acta Trop,2018-12-01,2018.0,12.0
30144807,PMC6109322,open, Parasit Vectors,2018-08-25,2018.0,8.0
30143829,,closed, Bull Environ Contam Toxicol,2018-10-01,2018.0,10.0
30140772,e00742,open, Heliyon,2018-08-20,2018.0,8.0
30139396,,closed, Animal,2018-08-24,2018.0,8.0
30139342,PMC6108136,open, BMC Pregnancy Childbirth,2018-08-23,2018.0,8.0
30138695,,closed, Parasitol Int,2018-12-01,2018.0,12.0
30135052,PMC6125609,open, JMIR Mhealth Uhealth,2018-08-22,2018.0,8.0
30134294,NIHMS1503101,open, AIDS,2018-09-24,2018.0,9.0
30134293,,closed, AIDS,2018-08-20,2018.0,8.0
30134290,,closed, AIDS,2018-08-20,2018.0,8.0
30133510,PMC6105004,open, PLoS One,2018-08-22,2018.0,8.0
30131572,PMC6104032,open, Sci Rep,2018-08-21,2018.0,8.0
30131571,PMC6104046,open, Nat Commun,2018-08-21,2018.0,8.0
30131253,,closed, Glob Heart,2018-08-18,2018.0,8.0
30128832,PMC6133031,open, J Cross Cult Gerontol,2018-09-01,2018.0,9.0
30127016,PMC6130363,open, Proc Natl Acad Sci U S A,2018-09-04,2018.0,9.0
30125353,,closed, Clin Pharmacol Ther,2018-08-20,2018.0,8.0
30125171,,closed, Plant Dis,2018-09-01,2018.0,9.0
30123987,,closed, Pest Manag Sci,2018-08-19,2018.0,8.0
