,pmid,pmd,journal,year
0,30165703,,  J Infect Dis,  2018 Aug 24
1,30165548,,  J Infect Dis,  2018 Aug 27
2,30165370,,  PLoS One,  2018 Aug 30
3,30161172,,  PLoS One,  2018 Aug 30
4,30161101,,  MMWR Morb Mortal Wkly Rep,  2018 Aug 31
5,30158702,,  Nature,  2018 Aug 29
6,30158473,,  Toxins (Basel),  2018 Aug 29
7,30157877,PMC6114501,  Reprod Health,  2018 Aug 29
8,30157796,PMC6114840,  BMC Psychiatry,  2018 Aug 29
9,30157702,,  Int J STD AIDS,  2018 Aug 29
10,30157230,,  PLoS One,  2018 Aug 29
11,30157200,,  PLoS One,  2018 Aug 29
12,30157086,,  AIDS,  2018 Sep 10
13,30154858,,  Obstet Gynecol Int,  2018 Aug 1
14,30154854,,  Int J Microbiol,  2018 Aug 5
15,30151125,PMC6102531,  Ecol Evol,  2015 Oct 22
16,30153540,,  J Clin Anesth,  2018 Aug 25
17,30153349,,  Cytopathology,  2018 Aug 28
18,30152267,,  Reprod Health Matters,  2018 Aug 28
19,30151811,,  Eur Spine J,  2018 Aug 27
20,30151809,,  Eur Spine J,  2018 Aug 27
21,30151808,,  Eur Spine J,  2018 Aug 27
22,30151807,,  Eur Spine J,  2018 Aug 27
23,30151805,,  Eur Spine J,  2018 Aug 27
24,30151804,,  Eur Spine J,  2018 Aug 27
25,30151585,,  Methods Mol Biol,  2018
26,30151175,PMC6106172,  Ecol Evol,  2018 Jul 9
27,30151171,PMC6106196,  Ecol Evol,  2018 Jul 6
28,30150604,,  Viruses,  2018 Aug 27
29,30148757,,  Sex Transm Dis,  2018 Aug 24
30,30148731,,  J Acquir Immune Defic Syndr,  2018 Aug 16
31,30148140,PMC6088200,  Mhealth,  2018 Jul 23
32,30147944,PMC6104751,  BMJ Glob Health,  2018 Aug 16
33,30145260,,  Acta Trop,  2018 Aug 23
34,30144807,PMC6109322,  Parasit Vectors,  2018 Aug 25
