30165703	NA	 J Infect Dis	 2018 Aug 24
30165548	NA	 J Infect Dis	 2018 Aug 27
30165370	NA	 PLoS One	 2018 Aug 30
30161172	NA	 PLoS One	 2018 Aug 30
30161101	NA	 MMWR Morb Mortal Wkly Rep	 2018 Aug 31
30158702	NA	 Nature	 2018 Aug 29
30158473	NA	 Toxins (Basel)	 2018 Aug 29
30157877	PMC6114501	 Reprod Health	 2018 Aug 29
30157796	PMC6114840	 BMC Psychiatry	 2018 Aug 29
30157702	NA	 Int J STD AIDS	 2018 Aug 29
30157230	NA	 PLoS One	 2018 Aug 29
30157200	NA	 PLoS One	 2018 Aug 29
30157086	NA	 AIDS	 2018 Sep 10
30154858	NA	 Obstet Gynecol Int	 2018 Aug 1
30154854	NA	 Int J Microbiol	 2018 Aug 5
30151125	PMC6102531	 Ecol Evol	 2015 Oct 22
30153540	NA	 J Clin Anesth	 2018 Aug 25
30153349	NA	 Cytopathology	 2018 Aug 28
30152267	NA	 Reprod Health Matters	 2018 Aug 28
30151811	NA	 Eur Spine J	 2018 Aug 27
30151809	NA	 Eur Spine J	 2018 Aug 27
30151808	NA	 Eur Spine J	 2018 Aug 27
30151807	NA	 Eur Spine J	 2018 Aug 27
30151805	NA	 Eur Spine J	 2018 Aug 27
30151804	NA	 Eur Spine J	 2018 Aug 27
30151585	NA	 Methods Mol Biol	 2018
30151175	PMC6106172	 Ecol Evol	 2018 Jul 9
30151171	PMC6106196	 Ecol Evol	 2018 Jul 6
30150604	NA	 Viruses	 2018 Aug 27
30148757	NA	 Sex Transm Dis	 2018 Aug 24
30148731	NA	 J Acquir Immune Defic Syndr	 2018 Aug 16
30148140	PMC6088200	 Mhealth	 2018 Jul 23
30147944	PMC6104751	 BMJ Glob Health	 2018 Aug 16
30145260	NA	 Acta Trop	 2018 Aug 23
30144807	PMC6109322	 Parasit Vectors	 2018 Aug 25
30143829	NA	 Bull Environ Contam Toxicol	 2018 Aug 24
30142218	NA	 PLoS One	 2018 Aug 24
30141707	NA	 Int J Palliat Nurs	 2018 Aug 2
30140772	e00742	 Heliyon	 2018 Aug 20
30139396	NA	 Animal	 2018 Aug 24
30139353	PMC6108107	 BMC Public Health	 2018 Aug 23
30139342	PMC6108136	 BMC Pregnancy Childbirth	 2018 Aug 23
30138695	NA	 Parasitol Int	 2018 Aug 20
30137610	NA	 Radiat Prot Dosimetry	 2018 Aug 23
30135052	NA	 JMIR Mhealth Uhealth	 2018 Aug 22
30134294	NA	 AIDS	 2018 Aug 20
30134293	NA	 AIDS	 2018 Aug 20
30134290	NA	 AIDS	 2018 Aug 20
30133510	NA	 PLoS One	 2018 Aug 22
30132425	NA	 Dev Psychopathol	 2018 Aug 22
30131572	PMC6104032	 Sci Rep	 2018 Aug 21
30131571	PMC6104046	 Nat Commun	 2018 Aug 21
30131253	NA	 Glob Heart	 2018 Aug 18
30129152	NA	 Am J Phys Anthropol	 2018 Aug 20
30128832	NA	 J Cross Cult Gerontol	 2018 Aug 20
30128100	PMC6092133	 Electron Physician	 2018 Jul 25
30127016	NA	 Proc Natl Acad Sci U S A	 2018 Aug 20
30125353	NA	 Clin Pharmacol Ther	 2018 Aug 20
30125171	NA	 Plant Dis	 2018 Sep
30123987	NA	 Pest Manag Sci	 2018 Aug 19
30123980	NA	 Microbiologyopen	 2018 Aug 19
30123697	PMC6086102	 PeerJ	 2018 Aug 7
30123385	PMC6062910	 Open AIDS J	 2018 Jul 19
30122904	PMC6078080	 Patient Prefer Adherence	 2018 Aug 1
30122789	PMC5913732	 Geoderma	 2018 Aug 15
30121756	NA	 Trop Anim Health Prod	 2018 Aug 18
30120706	NA	 Trop Anim Health Prod	 2018 Aug 17
30120548	NA	 Oecologia	 2018 Aug 18
30120168	NA	 Glob Health Sci Pract	 2018 Aug 16
30119666	PMC6098617	 Malar J	 2018 Aug 17
30119636	PMC6098596	 Reprod Health	 2018 Aug 17
30118434	PMC6108842	 Environ Health Perspect	 2018 Aug 6
30117472	NA	 Educ Health (Abingdon)	 2018 Jan-Apr
30117196	NA	 Med Anthropol Q	 2018 Aug 16
30117158	NA	 Int J Cancer	 2018 Aug 17
30116600	PMC6089301	 BMJ Glob Health	 2018 Aug 10
30116482	NA	 Oxid Med Cell Longev	 2018 Jul 9
30116141	PMC6083558	 Trop Med Health	 2018 Aug 8
30116015	NA	 Bone Marrow Transplant	 2018 Aug 16
30115087	PMC6097342	 Int J Behav Nutr Phys Act	 2018 Aug 16
30115064	PMC6097429	 BMC Public Health	 2018 Aug 16
30113403	NA	 J Acquir Immune Defic Syndr	 2018 Aug 10
30112432	PMC6091238	 Data Brief	 2018 Jul 27
30112010	NA	 J Environ Public Health	 2018 Jul 9
30111201	NA	 Issues Ment Health Nurs	 2018 Aug 15
30109590	NA	 Mycotoxin Res	 2018 Aug 14
30109456	NA	 AIDS Behav	 2018 Aug 14
30109430	NA	 Environ Monit Assess	 2018 Aug 14
30109391	NA	 Theor Appl Genet	 2018 Aug 14
30107851	PMC6092782	 Virol J	 2018 Aug 14
30106975	PMC6091919	 PLoS Negl Trop Dis	 2018 Aug 14
30106283	NA	 Environ Sci Technol	 2018 Aug 27
30105967	NA	 Am J Trop Med Hyg	 2018 Aug 13
30105965	NA	 Am J Trop Med Hyg	 2018 Aug 13
30105964	NA	 Am J Trop Med Hyg	 2018 Aug 13
30105251	NA	 Biomed Res Int	 2018 Jul 9
30105192	PMC6086810	 3 Biotech	 2018 Aug
30105094	PMC6074632	 BMJ Glob Health	 2018 Jul 25
30105093	PMC6074629	 BMJ Glob Health	 2018 Jul 31
30104046	NA	 Lancet	 2018 Aug 18
30103995	NA	 Lancet Glob Health	 2018 Sep
30103825	PMC6090627	 Parasit Vectors	 2018 Aug 13
