Pmid,Journal,Year,Month,Pmcid,Status
10022051,Preventive veterinary medicine,1999,1,NA,closed
10024569,Infection and immunity,1999,3,PMC96455,open
10030753,Veterinary parasitology,1999,2,NA,closed
10048769,Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research,1999,1,NA,closed
10048831,International journal for parasitology,1999,1,NA,closed
10065173,East African medical journal,1998,11,NA,closed
10065187,East African medical journal,1998,10,NA,closed
10065191,East African medical journal,1998,10,NA,closed
10065209,East African medical journal,1998,12,NA,closed
10065211,East African medical journal,1998,12,NA,closed
10065215,East African medical journal,1998,12,NA,closed
10072132,The American journal of tropical medicine and hygiene,1999,2,NA,closed
10079660,Journal of the Royal College of Surgeons of Edinburgh,1999,2,NA,closed
10081789,Preventive veterinary medicine,1999,3,NA,closed
10085580,DTW. Deutsche tierarztliche Wochenschrift,1999,2,NA,closed
10085737,Social biology,NA,NA,NA,closed
10091883,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,1999,2,NA,closed
10098831,Journal of reproductive immunology,1999,1,NA,closed
10112436,The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians,NA,NA,NA,closed
10115342,The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians,NA,NA,NA,closed
10116060,The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians,NA,NA,NA,closed
10143454,Health policy and planning,1995,6,NA,closed
10148798,Health transition review : the cultural social and behavioural determinants of health,1993,4,NA,closed
10150531,Health transition review : the cultural social and behavioural determinants of health,1995,4,NA,closed
10160373,Health policy and planning,1996,9,NA,closed
10178582,The International journal of health planning and management,NA,NA,NA,closed
10186568,Studies in health technology and informatics,1998,1,NA,closed
10186570,Studies in health technology and informatics,1998,1,NA,closed
10188179,Promotion & education,NA,NA,NA,closed
10192093,Journal of the South African Veterinary Association,1998,12,NA,closed
10193388,Thorax,1998,11,PMC1745121,open
10194757,Medical and veterinary entomology,1999,2,NA,closed
10203007,Journal of medical primatology,1998,12,NA,closed
10203031,Immunology letters,1999,3,NA,closed
10203383,AIDS (London England),1999,4,NA,closed
10203386,AIDS (London England),1999,4,NA,closed
10206114,Acta tropica,1999,3,NA,closed
10207541,AIDS (London England),1999,1,NA,closed
10218128,In vivo (Athens Greece),NA,NA,NA,closed
10224536,Memorias do Instituto Oswaldo Cruz,NA,NA,NA,closed
10225880,Infection and immunity,1999,1,PMC115963,open
10322322,Parasitology today (Personal ed.),1999,3,NA,closed
10322331,Parasitology today (Personal ed.),1999,4,NA,closed
10326074,QJM : monthly journal of the Association of Physicians,1999,3,NA,closed
10326100,Transactions of the Royal Society of Tropical Medicine and Hygiene,NA,NA,NA,closed
10327437,Preventive veterinary medicine,1999,4,NA,closed
10329362,Experimental parasitology,1999,1,NA,closed
10332380,Quintessence international (Berlin Germany : 1985),1997,4,NA,closed
10333365,Human reproduction update,NA,NA,NA,closed
10341076,Current microbiology,1999,6,NA,closed
10342272,Journal of the American Mosquito Control Association,1999,3,NA,closed
10344652,The American journal of tropical medicine and hygiene,1999,1,NA,closed
10344664,The American journal of tropical medicine and hygiene,1999,1,NA,closed
10350578,Mutation research,1999,1,NA,closed
10351466,Health policy and planning,1999,3,NA,closed
10353520,The Pediatric infectious disease journal,1999,1,NA,closed
10361628,Contraception,1999,2,NA,closed
10371005,Tropical animal health and production,1999,4,NA,closed
