Pmid 	 Journal 	 Year 	 Month
10022051	Preventive veterinary medicine	1999	1
10024569	Infection and immunity	1999	3
10030753	Veterinary parasitology	1999	2
10048769	Journal of interferon & cytokine research : the official journal of the International Society for Interferon and Cytokine Research	1999	1
10048831	International journal for parasitology	1999	1
10065173	East African medical journal	1998	11
10065187	East African medical journal	1998	10
10065191	East African medical journal	1998	10
10065209	East African medical journal	1998	12
10065211	East African medical journal	1998	12
10065215	East African medical journal	1998	12
10072132	The American journal of tropical medicine and hygiene	1999	2
10079660	Journal of the Royal College of Surgeons of Edinburgh	1999	2
10081789	Preventive veterinary medicine	1999	3
10085580	DTW. Deutsche tierarztliche Wochenschrift	1999	2
10085737	Social biology	NA	NA
10091883	The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease	1999	2
10098831	Journal of reproductive immunology	1999	1
10112436	The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians	NA	NA
10115342	The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians	NA	NA
10116060	The Journal of pharmacy technology : jPT : official publication of the Association of Pharmacy Technicians	NA	NA
10143454	Health policy and planning	1995	6
10148798	Health transition review : the cultural, social, and behavioural determinants of health	1993	4
10150531	Health transition review : the cultural, social, and behavioural determinants of health	1995	4
10160373	Health policy and planning	1996	9
10178582	The International journal of health planning and management	NA	NA
10186568	Studies in health technology and informatics	1998	1
10186570	Studies in health technology and informatics	1998	1
10188179	Promotion & education	NA	NA
10192093	Journal of the South African Veterinary Association	1998	12
10193388	Thorax	1998	11
10194757	Medical and veterinary entomology	1999	2
10203007	Journal of medical primatology	1998	12
10203031	Immunology letters	1999	3
10203383	AIDS (London, England)	1999	4
10203386	AIDS (London, England)	1999	4
10206114	Acta tropica	1999	3
10207541	AIDS (London, England)	1999	1
10218128	In vivo (Athens, Greece)	NA	NA
10224536	Memorias do Instituto Oswaldo Cruz	NA	NA
10225880	Infection and immunity	1999	1
10322322	Parasitology today (Personal ed.)	1999	3
10322331	Parasitology today (Personal ed.)	1999	4
10326074	QJM : monthly journal of the Association of Physicians	1999	3
10326100	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10327437	Preventive veterinary medicine	1999	4
10329362	Experimental parasitology	1999	1
10332380	Quintessence international (Berlin, Germany : 1985)	1997	4
10333365	Human reproduction update	NA	NA
10341076	Current microbiology	1999	6
10342272	Journal of the American Mosquito Control Association	1999	3
10344652	The American journal of tropical medicine and hygiene	1999	1
10344664	The American journal of tropical medicine and hygiene	1999	1
10350578	Mutation research	1999	1
10351466	Health policy and planning	1999	3
10353520	The Pediatric infectious disease journal	1999	1
10361628	Contraception	1999	2
10371005	Tropical animal health and production	1999	4
10377122	Infection and immunity	1999	7
10377527	Parasitology today (Personal ed.)	1999	7
10380112	Insect molecular biology	1999	1
10383070	The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease	1999	6
10384222	Accident; analysis and prevention	1999	7
10384227	Accident; analysis and prevention	1999	7
10394319	American journal of public health	1999	7
10396762	The Onderstepoort journal of veterinary research	1999	3
10396765	The Onderstepoort journal of veterinary research	1999	3
10399651	Journal of community health	1999	6
10402968	Tropical medicine & international health : TM & IH	1999	1
10402975	Tropical medicine & international health : TM & IH	1999	1
10403325	The American journal of tropical medicine and hygiene	1999	6
10407651	Archives of andrology	NA	NA
10413689	The British journal of ophthalmology	1999	8
10419230	Acta paediatrica (Oslo, Norway : 1992). Supplement	1999	1
10442101	East African medical journal	1999	4
10442113	East African medical journal	1999	3
10442118	East African medical journal	1999	3
10442129	East African medical journal	1999	2
10442130	East African medical journal	1999	2
10442139	East African medical journal	1999	1
10442143	East African medical journal	1999	1
10442145	East African medical journal	1999	1
10442148	East African medical journal	1999	1
10442152	East African medical journal	1999	1
10447427	Journal of medical virology	1999	7
10453248	Journal of biosocial science	1999	7
10456413	Veterinary parasitology	1999	8
10457870	Contraception	1999	4
10472669	Revue scientifique et technique (International Office of Epizootics)	1999	8
10472676	Revue scientifique et technique (International Office of Epizootics)	1999	8
10472679	Revue scientifique et technique (International Office of Epizootics)	1999	8
10472680	Revue scientifique et technique (International Office of Epizootics)	1999	8
10475110	Journal of medical primatology	1999	6
10477182	Molecular and biochemical parasitology	1999	7
10486823	The Onderstepoort journal of veterinary research	1999	6
10486828	The Onderstepoort journal of veterinary research	1999	6
10490230	Veterinary immunology and immunopathology	1999	7
10492760	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10492766	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10493058	East African medical journal	1998	9
10493063	East African medical journal	1998	9
10497116	Virology	1999	9
10499858	The Veterinary record	1999	8
10509421	Tropical animal health and production	1999	10
10514048	Medical and veterinary entomology	1999	7
10514061	Medical and veterinary entomology	1999	7
10516785	Bulletin of the World Health Organization	1999	1
10520347	East African medical journal	1999	8
10520364	East African medical journal	1999	7
10520373	East African medical journal	1999	7
10530193	Indian journal of dental research : official publication of Indian Society for Dental Research	NA	NA
10535649	Journal of medical microbiology	1999	11
10540306	Tropical medicine & international health : TM & IH	1999	9
10558843	Veterinary journal (London, England : 1997)	1999	11
10558945	The Journal of infectious diseases	1999	12
10560653	Lancet (London, England)	1999	11
10562831	Annals of tropical medicine and parasitology	1999	4
10563954	Journal of agricultural and food chemistry	1999	2
10569776	Infection and immunity	1999	12
10569978	Biology of reproduction	1999	12
10572862	Journal of zoo and wildlife medicine : official publication of the American Association of Zoo Veterinarians	1999	9
10579537	The Veterinary record	1999	9
10586907	The American journal of tropical medicine and hygiene	1999	11
10588767	Tropical medicine & international health : TM & IH	1999	11
10589921	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	1999	10
10593396	Fertility and sterility	1999	12
10597532	Journal of veterinary pharmacology and therapeutics	1999	10
10597533	Journal of veterinary pharmacology and therapeutics	1999	10
10599130	Tropical animal health and production	1999	12
10599131	Tropical animal health and production	1999	12
10601915	American journal of obstetrics and gynecology	1999	12
10609577	The Veterinary record	1999	11
10618279	Clinical and diagnostic laboratory immunology	2000	1
10628697	Veterinary parasitology	1999	11
10629956	Comparative biochemistry and physiology. Part A, Molecular & integrative physiology	1999	10
10632992	Tropical medicine & international health : TM & IH	1999	12
10640169	Contraception	1999	10
10640781	Journal of immunology (Baltimore, Md. : 1950)	2000	2
10643111	Disasters	1999	12
10643113	Disasters	1999	12
10643913	Acta tropica	2000	1
10643915	Acta tropica	2000	1
10643974	Cellular and molecular biology (Noisy-le-Grand, France)	1999	12
10654860	Sexually transmitted diseases	2000	1
10666228	Blood	2000	2
10669452	BMJ (Clinical research ed.)	2000	2
10674687	The American journal of tropical medicine and hygiene	1999	12
10685315	East African medical journal	1999	9
10685317	East African medical journal	1999	9
10685324	East African medical journal	1999	9
10685326	East African medical journal	1999	9
10696409	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10696414	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10697862	Parassitologia	1999	9
10703753	Veterinary research communications	2000	2
10703779	JAMA	2000	3
10703801	Lancet (London, England)	2000	2
10715684	Annals of tropical medicine and parasitology	1999	12
10715698	Annals of tropical medicine and parasitology	1999	10
10717943	Tropical animal health and production	2000	2
10727745	Preventive veterinary medicine	2000	3
10731569	International journal for parasitology	2000	4
10734511	East African medical journal	1999	10
10734545	East African medical journal	1999	12
10736042	Molecular ecology	2000	4
10748907	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10750503	East African medical journal	1999	1
10750509	East African medical journal	1999	1
10750515	East African medical journal	1999	6
10750526	East African medical journal	1999	6
10757659	Bulletin of environmental contamination and toxicology	2000	3
10760405	Preventive veterinary medicine	2000	4
10760408	Veterinary parasitology	2000	4
10765615	Journal of biosocial science	2000	4
10772091	International journal of STD & AIDS	2000	4
10773113	World journal of surgery	2000	6
10774079	East African medical journal	2000	2
10779608	Molecular and biochemical parasitology	2000	4
10782738	Sexually transmitted diseases	2000	4
10799896	Journal of immunology (Baltimore, Md. : 1950)	2000	1
10811278	Parasitology	2000	4
10813159	Epidemiology and infection	2000	4
10821950	Journal of immunological methods	2000	1
10822886	European journal of orthodontics	2000	4
10822934	Journal of tropical pediatrics	2000	4
10825036	Clinical infectious diseases : an official publication of the Infectious Diseases Society of America	1999	4
10826703	DNA sequence : the journal of DNA sequencing and mapping	2000	1
10834983	Journal of clinical microbiology	2000	6
10836096	Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft	2000	1
10837185	The Journal of infectious diseases	2000	6
10838215	Acta tropica	2000	1
10839077	Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses	1999	12
10843321	The Onderstepoort journal of veterinary research	2000	3
10844979	Indian journal of biochemistry & biophysics	1999	10
10855817	Journal of the South African Veterinary Association	1999	3
10855832	Journal of the South African Veterinary Association	1999	6
10855837	Journal of the South African Veterinary Association	1999	12
10855839	Journal of the South African Veterinary Association	1999	12
10855841	Journal of the South African Veterinary Association	1999	12
10855845	Journal of the South African Veterinary Association	1999	12
10868670	Social science & medicine (1982)	2000	8
10870765	The Veterinary record	2000	1
10872913	International journal of STD & AIDS	2000	6
10874718	Parasitology	2000	6
10877491	Journal of acquired immune deficiency syndromes (1999)	2000	1
10879825	Chemosphere	2000	10
10882604	The Journal of infectious diseases	2000	7
10886803	Tropical medicine & international health : TM & IH	2000	1
10895238	African journal of medicine and medical sciences	NA	NA
10897371	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10902480	Tropical doctor	2000	7
10905260	Lancet (London, England)	2000	1
10912478	European journal of gastroenterology & hepatology	2000	6
10920233	Mammalian genome : official journal of the International Mammalian Genome Society	2000	8
10924760	Molecular and biochemical parasitology	2000	6
10928565	Zeitschrift fur Naturforschung. C, Journal of biosciences	NA	NA
10936574	Acta tropica	2000	9
10947362	Journal of health communication	NA	NA
10949513	Journal of the South African Veterinary Association	2000	3
10949518	Journal of the South African Veterinary Association	2000	3
10955060	East African medical journal	1999	11
10967254	FEMS immunology and medical microbiology	2000	9
10974166	Acta tropica	2000	10
10974991	Transactions of the Royal Society of Tropical Medicine and Hygiene	NA	NA
10983560	Annals of tropical medicine and parasitology	2000	7
10985611	Archives of gynecology and obstetrics	2000	7
10996978	Journal of tropical pediatrics	2000	8
10997205	Advances in parasitology	2000	1
11016437	Medical and veterinary entomology	2000	9
11019462	Bulletin of the World Health Organization	2000	1
11023409	Parasitology	1995	11
11023410	Parasitology	1995	11
11024301	Gene	2000	9
11030364	Journal of the South African Veterinary Association	2000	6
11030366	Journal of the South African Veterinary Association	2000	6
11037785	The American journal of tropical medicine and hygiene	2000	3
11039065	Journal of dental research	1988	2
11055762	The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease	2000	10
11063511	Clinical and diagnostic laboratory immunology	2000	11
11065073	Advances in experimental medicine and biology	2000	1
11071289	Molecular and biochemical parasitology	2000	10
11071549	Parassitologia	1999	9
11076726	Emerging infectious diseases	NA	NA
11077169	Fitoterapia	2000	12
11080596	Gene	2000	10
11082557	Bulletin of entomological research	2000	10
11084709	Statistical methods in medical research	2000	6
11093041	Folia primatologica; international journal of primatology	NA	NA
11110352	Ethnicity & disease	2000	1
11114392	Acta tropica	2000	12
11119497	Infection and immunity	2001	1
11119512	Infection and immunity	2001	1
11123822	Tropical medicine & international health : TM & IH	2000	11
11130316	Scottish medical journal	2000	10
11131115	The Onderstepoort journal of veterinary research	2000	9
11137270	Veterinary parasitology	2001	1
11137346	Journal of ethnopharmacology	2001	1
11140607	Phytochemistry	2000	11
11160158	The Journal of clinical investigation	2001	2
11167032	Journal of ethnopharmacology	2001	2
11167529	Animal genetics	2000	12
11168824	Journal of medical primatology	2000	10
11169275	Tropical medicine & international health : TM & IH	2000	12
11169441	European journal of immunology	2001	1
11170849	Research in veterinary science	2001	2
11193631	Annals of the New York Academy of Sciences	2000	1
11193661	Annals of the New York Academy of Sciences	2000	1
11195266	International clinical psychopharmacology	2000	11
11195461	Experimental lung research	2000	12
11206392	The Onderstepoort journal of veterinary research	2000	12
11207176	Archives of disease in childhood	2001	3
11220630	Immunogenetics	2001	1
11222328	The British journal of ophthalmology	2001	3
11223223	Fitoterapia	2001	2
11223230	Fitoterapia	2001	2
11223234	Fitoterapia	2001	2
11231400	Gastrointestinal endoscopy	2001	3
11234190	Tropical animal health and production	2001	2
11237814	The Journal of infectious diseases	2001	3
11238219	Clinical and diagnostic laboratory immunology	2001	3
11243659	Veterinary research communications	2001	2
11253782	Comparative biochemistry and physiology. Part A, Molecular & integrative physiology	1998	1
