PMID	DOI	PMCID
10022051	10.1016/s0167-5877(98)00128-7	NA
10024569	NA	PMC96455
10030753	10.1016/s0304-4017(98)00194-0	NA
10048769	10.1089/107999099314423	NA
10048831	10.1016/s0020-7519(98)00187-8	NA
10065173	NA	NA
10065187	NA	NA
10065191	NA	NA
10065209	NA	NA
10065211	NA	NA
10065215	NA	NA
10072132	10.4269/ajtmh.1999.60.177	NA
10079660	NA	NA
10081789	10.1016/s0167-5877(98)00137-8	NA
10085580	NA	NA
10085737	10.1080/19485565.1998.9988976	NA
10091883	NA	NA
10098831	10.1016/s0165-0378(98)00043-6	NA
10112436	10.1177/875512259100700306	NA
10115342	10.1177/875512259100700510	NA
10116060	10.1177/875512259100700610	NA
10143454	10.1093/heapol/10.2.164	NA
10148798	NA	NA
10150531	NA	NA
10160373	10.1093/heapol/11.3.280	NA
10178582	10.1002/(SICI)1099-1751(199801/03)13:1&lt;27::AID-HPM498&gt;3.0.CO;2-B	NA
10186568	NA	NA
10186570	NA	NA
10188179	10.1177/102538239800500306	NA
10192093	10.4102/jsava.v69i4.848	NA
10193388	10.1136/thx.53.11.919	PMC1745121
10194757	10.1046/j.1365-2915.1999.00137.x	NA
10203007	10.1111/j.1600-0684.1998.tb00076.x	NA
10203031	10.1016/s0165-2478(98)00182-5	NA
10203383	10.1097/00002030-199904010-00007	NA
10203386	10.1097/00002030-199904010-00010	NA
10206114	10.1016/s0001-706x(98)00092-8	NA
10207541	10.1097/00002030-199901140-00004	NA
10218128	NA	NA
10224536	10.1590/s0074-02761999000200022	NA
10225880	NA	PMC115963
10322322	10.1016/s0169-4758(99)01395-2	NA
10322331	10.1016/s0169-4758(99)01419-2	NA
10326074	10.1093/qjmed/92.3.151	NA
10326100	10.1016/s0035-9203(98)90781-7	NA
10327437	10.1016/s0167-5877(98)00143-3	NA
10329362	10.1006/expr.1998.4393	NA
10332380	NA	NA
10333365	10.1093/humupd/5.1.1	NA
10341076	10.1007/pl00006815	NA
10342272	NA	NA
10344652	10.4269/ajtmh.1999.60.781	NA
10344664	10.4269/ajtmh.1999.60.854	NA
10350578	10.1016/s0027-5107(99)00048-2	NA
10351466	10.1093/heapol/14.1.18	NA
10353520	10.1097/00006454-199905000-00011	NA
10361628	10.1016/s0010-7824(99)00007-4	NA
10371005	10.1023/a:1005151305364	NA
10377122	NA	PMC116527
