+---------+--------------------------------------------------------------------------------------------------------------------------------------------+
|component|pmid                                                                                                                                        |
+---------+--------------------------------------------------------------------------------------------------------------------------------------------+
|0        |[10703801, 10703801, 10703801, 10703801, 10703801, 10703801, 10703801, 10703801, 10703801]                                                  |
|1        |[10715684]                                                                                                                                  |
|2        |[12199442, 12199442]                                                                                                                        |
|3        |[12389953, 12389953, 12389953, 12389953]                                                                                                    |
|4        |[12586667, 12586667, 12586667, 12586667, 12586667, 12586667, 12586667, 12586667, 12586667]                                                  |
|5        |[1332221, 1332221, 1332221, 1332221, 1332221, 1332221, 1332221, 1332221, 1332221, 1332221]                                                  |
|6        |[14748930, 14748930, 14748930, 14748930]                                                                                                    |
|7        |[15135115, 15135115, 15135115, 15135115, 15135115, 15135115, 15135115]                                                                      |
|8        |[15585775, 15585775, 15585775, 15585775, 15585775]                                                                                          |
|9        |[16167742]                                                                                                                                  |
|10       |[16619704, 16619704, 16619704, 16619704, 16619704, 16619704, 16619704, 16619704, 16619704]                                                  |
|11       |[1685299, 1685299, 1685299]                                                                                                                 |
|12       |[17478642, 17478642]                                                                                                                        |
|13       |[17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531, 17516531]|
|14       |[18663885, 18663885]                                                                                                                        |
|15       |[21327135, 21327135, 21327135]                                                                                                              |
|16       |[22087385, 22087385, 22087385, 22087385, 22087385]                                                                                          |
|17       |[2250102, 2250102, 2250102]                                                                                                                 |
|18       |[22518169]                                                                                                                                  |
|19       |[23206271, 23206271, 23206271, 23206271]                                                                                                    |
|20       |[23209348]                                                                                                                                  |
|21       |[23224100, 23224100, 23224100, 23224100, 23224100, 23224100, 23224100, 23224100, 23224100, 23224100, 23224100, 23224100]                    |
|22       |[23703439, 23703439, 23703439, 23703439, 23703439, 23703439, 23703439, 23703439]                                                            |
|23       |[24906964, 24906964, 24906964]                                                                                                              |
|24       |[2512714, 2512714, 2512714]                                                                                                                 |
|25       |[2552850, 2552850, 2552850, 2552850, 2552850, 2552850, 2552850, 2552850, 2552850]                                                           |
|26       |[25631099]                                                                                                                                  |
|27       |[26060539, 26060539]                                                                                                                        |
|28       |[26101336]                                                                                                                                  |
|29       |[26295263, 26295263, 26295263, 26295263, 26295263, 26295263, 26295263]                                                                      |
|30       |[26468873, 26468873, 26468873]                                                                                                              |
+---------+--------------------------------------------------------------------------------------------------------------------------------------------+
