id,pubmid
Noah Naumih M,31886019
Ndangili Peter M,31886019
Ogolla Kennedy O,31885634
Chebet Joyce,31885634
Waruiru Robert M,31885634
Gathumbi Peter K,31885634
Okumu Paul O,31885634
Aboge Gabriel O,31885634
Maleche Allan,31885453
Levy Rachel,31883526
Mathai Muthoni,31883526
Chatterjee Purba,31883526
Ongeri Linnet,31883526
Njuguna Simon,31883526
Onyango Dickens,31883526
Rota Grace,31883526
Otieno Ammon,31883526
Neylan Thomas C,31883526
Kahn James G,31883526
Cohen Craig R,31883526
Bukusi David,31883526
Aarons Gregory A,31883526
Burger Rachel,31883526
Blum Kelly,31883526
Nahum-Shani Inbal,31883526
Meffert Susan M,31883526
Cheseto Xavier,31882903
Coyne Danny,31882903
Torto Baldwyn,31882903
Smith David L,31881898
Conrad Melissa D,31881898
Dorsey Grant,31881898
Tchiechoua Yves H,31881729
Kinyua Johnson,31881729
Ngumi Victoria Wambui,31881729
Odee David Warambo,31881729
Evans W Douglas,31881652
Young Bonnie N,31881652
Johnson Michael A,31881652
Jagoe Kirstie A,31881652
Charron Dana,31881652
Rossanese Madeleine,31881652
Morgan K Lloyd,31881652
Gichinga Patricia,31881652
Ipe Julie,31881652
Mwaniki M,31881473
Orina Fred,31881063
Mwangi Moses,31881063
Meme Hellen,31881063
Amukoye Evans,31881063
Joseph Rachael H,31881031
Musingila Paul,31881031
Miruka Fredrick,31881031
Wanjohi Stella,31881031
Dande Caroline,31881031
Musee Polycarp,31881031
Lugalia Fillet,31881031
Onyango Dickens,31881031
Kinywa Eunice,31881031
Okomo Gordon,31881031
Moth Iscah,31881031
Omondi Samuel,31881031
Ayieko Caren,31881031
Nganga Lucy,31881031
Zielinski-Gutierrez Emily,31881031
Muttai Hellen,31881031
De Cock Kevin M,31881031
Kiarie James N,31878946
Chung Michael H,31878946
Yssel Anna,31878322
Kariba Robert,31878322
Muthemba Samuel,31878322
Hendre Prasad S,31878322
Muchugi Alice,31878322
Jamnadass Ramni,31878322
Zerega Nyree J C,31878322
Deynze Allen Van,31878322
Peer Yves Van de,31878322
Nyaga Christine,31877962
Gowda Manje,31877962
Beyene Yoseph,31877962
Muriithi Wilson T,31877962
Makumbi Dan,31877962
Olsen Michael S,31877962
Suresh L M,31877962
Bright Jumbo M,31877962
Das Biswanath,31877962
Prasanna Boddupalli M,31877962
Norconk Marilyn A,31876316
Atsalis Sylvia,31876316
Tully Gregg,31876316
Knott Cheryl D,31876316
Ross Stephen R,31876316
Stiles Daniel,31876316
Sanghvi Harshadkumar,31874937
Mohan Diwakar,31874937
Litwin Lindsay,31874937
Bazant Eva,31874937
Gomez Patricia,31874937
MacDowell Tara,31874937
Onsase Levis,31874937
Wabwile Valentino,31874937
Waka Charles,31874937
Qureshi Zahida,31874937
Omanga Eunice,31874937
Gichangi Anthony,31874937
Muia Ruth,31874937
Bauza Valerie,31874341
Madadi Vincent,31874341
Ocharo Robinson,31874341
Nguyen Thanh H,31874341
Guest Jeremy S,31874341
Attia Engi F,31874184
Jacobson Denise,31874184
Yu Wendy,31874184
Crowell Claudia S,31874184
Maleche-Obimbo Elizabeth,31874184
Williams Paige L,31874184
West T Eoin,31874184
Burchett Sandra K,31874184
Kattan Meyer,31874184
Colin Andrew A,31874184
Eskander Sherry,31874184
Chung Michael H,31874184
Crothers Kristina,31874184
Shearer William T,31874184
Masinde Peter Wafula,31873821
Dettinger Julia C,31872948
Kinuthia John,31872948
Pintye Jillian,31872948
Baeten Jared M,31872948
John-Stewart Grace,31872948
Parkar Fasahat,31872774
Njue Alice Wanjiku,31872774
Omolo Josiah Ouma,31872774
Ngugi Anthony K,31872230
Odhiambo Rachael,31872230
Agoi Felix,31872230
Lakhani Amyn,31872230
Orwa James,31872230
Obure Jerim,31872230
Mang'ong'o David,31872230
Luchters Stanley,31872230
Munywoki Catherine,31872230
Omar Anisa,31872230
Temmerman Marleen,31872230
Amolo Prisca,31871452
Laigong Paul,31871452
Omar Anjumanara,31871452
Shikuku Duncan N,31870325
Mukosa Rita,31870325
Peru Taphroze,31870325
Yaite Alice,31870325
Ambuchi Janerose,31870325
Sisimwo Kenneth,31870325
Nacht Carrie,31870236
Agingu Walter,31870236
Otieno Fredrick,31870236
Odhiambo Finch,31870236
Mehta Supriya D,31870236
Kipkoech Kirui Joseph,31869666
Menya Diana,31869666
Ajayi Anthony Idowu,31869385
Otunga Grace N,31867465
Maiyoh Geoffrey K,31867465
Macharia Benson N,31867465
Tuei Vivian C,31867465
Bacchini Dario,31865926
Deater-Deckard Kirby,31865926
Di Giunta Laura,31865926
Oburu Paul,31865926
Pastorelli Concetta,31865926
Steinberg Laurence,31865926
Maichomo M W,31865537
Nginyi J M,31865537
Mungube E O,31865537
