pmid,allauthors,num_label
31886019,Noah Naumih M,20756
31886019,Ndangili Peter M,19521
31885634,Ogolla Kennedy O,22046
31885634,Chebet Joyce,3890
31885634,Waruiru Robert M,30416
31885634,Gathumbi Peter K,6900
31885634,Okumu Paul O,22469
31885634,Aboge Gabriel O,134
31885453,Maleche Allan,14989
31883526,Levy Rachel,13717
31883526,Mathai Muthoni,15566
31883526,Chatterjee Purba,3866
31883526,Ongeri Linnet,23109
31883526,Njuguna Simon,20710
31883526,Onyango Dickens,23229
31883526,Rota Grace,25930
31883526,Otieno Ammon,23671
31883526,Neylan Thomas C,19915
31883526,Kahn James G,10117
31883526,Cohen Craig R,4407
31883526,Bukusi David,3308
31883526,Aarons Gregory A,8
31883526,Burger Rachel,3352
31883526,Blum Kelly,2736
31883526,Nahum-Shani Inbal,19313
31883526,Meffert Susan M,16290
31882903,Cheseto Xavier,4096
31882903,Coyne Danny,4642
31882903,Torto Baldwyn,28938
31881898,Smith David L,27547
31881898,Conrad Melissa D,4513
31881898,Dorsey Grant,5374
31881729,Tchiechoua Yves H,28451
31881729,Kinyua Johnson,11961
31881729,Ngumi Victoria Wambui,20249
31881729,Odee David Warambo,21656
31881652,Evans W Douglas,6021
31881652,Young Bonnie N,31415
31881652,Johnson Michael A,9730
31881652,Jagoe Kirstie A,9487
31881652,Charron Dana,3862
31881652,Rossanese Madeleine,25919
31881652,Morgan K Lloyd,17073
31881652,Gichinga Patricia,7136
31881652,Ipe Julie,9287
31881473,Mwaniki M,18990
31881063,Orina Fred,23471
31881063,Mwangi Moses,18931
31881063,Meme Hellen,16348
31881063,Amukoye Evans,1058
31881031,Joseph Rachael H,9818
31881031,Musingila Paul,18262
31881031,Miruka Fredrick,16694
31881031,Wanjohi Stella,30264
31881031,Dande Caroline,4836
31881031,Musee Polycarp,18227
31881031,Lugalia Fillet,14176
31881031,Onyango Dickens,23229
31881031,Kinywa Eunice,11975
31881031,Okomo Gordon,22362
31881031,Moth Iscah,17185
31881031,Omondi Samuel,22900
31881031,Ayieko Caren,1666
31881031,Nganga Lucy,20023
31881031,Zielinski-Gutierrez Emily,31603
31881031,Muttai Hellen,18563
31881031,De Cock Kevin M,4979
31878946,Kiarie James N,11370
31878946,Chung Michael H,4276
31878322,Yssel Anna,31439
31878322,Kariba Robert,10663
31878322,Muthemba Samuel,18425
31878322,Hendre Prasad S,8529
31878322,Muchugi Alice,17342
31878322,Jamnadass Ramni,9527
31878322,Zerega Nyree J C,31532
31878322,Deynze Allen Van,5167
31878322,Peer Yves Van de,24503
31877962,Nyaga Christine,20915
31877962,Gowda Manje,7711
31877962,Beyene Yoseph,2480
31877962,Muriithi Wilson T,18066
31877962,Makumbi Dan,14945
31877962,Olsen Michael S,22624
31877962,Suresh L M,28159
31877962,Bright Jumbo M,3099
31877962,Das Biswanath,4883
31877962,Prasanna Boddupalli M,24965
31876316,Norconk Marilyn A,20790
31876316,Atsalis Sylvia,1523
31876316,Tully Gregg,29091
31876316,Knott Cheryl D,12407
31876316,Ross Stephen R,25915
31876316,Stiles Daniel,27977
31874937,Sanghvi Harshadkumar,26393
31874937,Mohan Diwakar,16899
31874937,Litwin Lindsay,13938
31874937,Bazant Eva,2183
31874937,Gomez Patricia,7595
31874937,MacDowell Tara,14356
31874937,Onsase Levis,23169
31874937,Wabwile Valentino,29543
31874937,Waka Charles,29769
31874937,Qureshi Zahida,25134
31874937,Omanga Eunice,22683
31874937,Gichangi Anthony,7112
31874937,Muia Ruth,17543
31874341,Bauza Valerie,2163
31874341,Madadi Vincent,14536
31874341,Ocharo Robinson,21492
31874341,Nguyen Thanh H,20294
31874341,Guest Jeremy S,7915
31874184,Attia Engi F,1526
31874184,Jacobson Denise,9466
31874184,Yu Wendy,31445
31874184,Crowell Claudia S,4707
31874184,Maleche-Obimbo Elizabeth,14994
31874184,Williams Paige L,30928
31874184,West T Eoin,30769
31874184,Burchett Sandra K,3348
31874184,Kattan Meyer,10918
31874184,Colin Andrew A,4453
31874184,Eskander Sherry,5939
31874184,Chung Michael H,4276
31874184,Crothers Kristina,4700
31874184,Shearer William T,27011
31873821,Masinde Peter Wafula,15487
31872948,Dettinger Julia C,5152
31872948,Kinuthia John,11909
31872948,Pintye Jillian,24769
31872948,Baeten Jared M,1769
31872948,John-Stewart Grace,9704
31872774,Parkar Fasahat,24332
31872774,Njue Alice Wanjiku,20658
31872774,Omolo Josiah Ouma,22841
31872230,Ngugi Anthony K,20186
31872230,Odhiambo Rachael,21773
31872230,Agoi Felix,504
31872230,Lakhani Amyn,13239
31872230,Orwa James,23519
31872230,Obure Jerim,21460
31872230,Mang'ong'o David,15118
31872230,Luchters Stanley,14167
31872230,Munywoki Catherine,17975
31872230,Omar Anisa,22696
31872230,Temmerman Marleen,28492
31871452,Amolo Prisca,1025
31871452,Laigong Paul,13223
31871452,Omar Anjumanara,22698
31870325,Shikuku Duncan N,27093
31870325,Mukosa Rita,17662
31870325,Peru Taphroze,24606
31870325,Yaite Alice,31255
31870325,Ambuchi Janerose,969
31870325,Sisimwo Kenneth,27441
31870236,Nacht Carrie,19274
31870236,Agingu Walter,498
31870236,Otieno Fredrick,23718
31870236,Odhiambo Finch,21742
31870236,Mehta Supriya D,16309
31869666,Kipkoech Kirui Joseph,12011
31869666,Menya Diana,16387
31869385,Ajayi Anthony Idowu,605
31867465,Otunga Grace N,23854
31867465,Maiyoh Geoffrey K,14840
31867465,Macharia Benson N,14402
31867465,Tuei Vivian C,29074
31865926,Bacchini Dario,1747
31865926,Deater-Deckard Kirby,5026
31865926,Di Giunta Laura,5183
31865926,Oburu Paul,21469
31865926,Pastorelli Concetta,24376
31865926,Steinberg Laurence,27892
31865537,Maichomo M W,14692
31865537,Nginyi J M,20133
31865537,Mungube E O,17908
31865537,Njanja J C,20430
31865537,Lumumba P A,14211
31864916,Levine Myron M,13711
31864916,Nasrin Dilruba,19449
31864916,Powell Helen,24936
31864916,Tennant Sharon M,28511
31864916,Breiman Robert F,3059
31864916,O'Reilly Ciara E,21323
31864916,Mintz Eric D,16660
31864916,Omore Richard,22916
31864916,Ochieng John B,21528
31864916,Oundo Joseph O,23946
31864916,Blackwelder William C,2682
31864916,Farag Tamer,6101
31864916,Wu Yukun,31191
31864916,Houpt Eric R,8897
31864916,Nataro James P,19458
31864916,Kotloff Karen L,12735
31861984,Shah Jasmit,26906
31861984,Brock Guy N,3123
31861984,Gaskins Jeremy,6841
31861452,Mutiga Samuel,18493
31861452,Njuguna Joyce,20694
31861452,Machuka Eunice,14491
31861452,Senay Senait,26819
31861452,Stomeo Francesca,27996
31860571,Mehta Naaman,16300
31860571,Orangʼo Omenge,23430
31860571,Itsura Peter,9402
31860571,Tonui Philip,28891
31860571,Liu Tao,13960
31860571,Cu-Uvin Susan,4720
31858933,Termote Céline,28527
31857665,Malala John O,14974
31857665,Lotuliakou David E,14091
31857297,Kombe Francis Kazungu,12577
31857297,Marsh Vicki,15328
31857297,Molyneux Sassy,16955
31857297,Kamuya Dorcas Mwikali,10405
31857297,Ikamba Dorothy,9177
31857297,Kinyanjui Samson Muchina,11945
31856848,Oronje Rose N,23490
31856848,Murunga Violet I,18173
31856747,Mumma Jane,17812
31856747,Simiyu Sheillah,27319
31856747,Aseyo Evalyne,1413
31856747,Anderson John,1147
31856747,Baker Kelly K,1833
31856245,Onono Maricianah Atieno,23164
31856245,Okoro Dan Odhiambo,22383
31856245,Bukusi Elizabeth Anne,3315
31856196,Gichangi Peter,7119
31855611,Herrman Timothy J,8599
31855611,Hoffmann Vivian,8754
31855611,Muiruri Anne,17567
31855611,McCORMICK Cindy,16057
31855511,Izugbara Chimaraoke,9421
31855511,Wekesah Frederick Murunga,30643
31855511,Sebany Meroji,26745
31855511,Echoka Elizabeth,5610
31855511,Muga Winstoun,17406
31853552,Fiaboe Komi K M,6264
31853545,Mohamed Samira A,16868
31853545,Ekesi Sunday,5710
31853510,Mworia Joseph Kiambi,19210
31853510,Kibiti Cromwell Mwiti,11420
31853510,Ngugi Mathew Piero,20210
31853510,Ngeranwa Joseph Ngari,20087
31853160,Simtowe Franklin,27348
31853160,Marenya Paswel,15246
31852740,Lutukai Mercy,14262
31852740,Bunde Elizabeth A,3334
31852740,Hatch Benjamin,8399
31852740,Mohamed Zoya,16875
31852740,Yavari Shahrzad,31326
31852740,Some Ernest,27661
31852740,Chweya Amos,4293
31852740,Kania Caroline,10485
31852740,Ross Jesse C,25913
31852740,Keddem Carmit,11026
31852740,Chandani Yasmin,3799
31852697,Kaseje Margaret,10822
31852605,Mwangome Martha,18968
31852600,Aguayo Victor M,524
31852600,Mugambi Gladys,17412
31852600,Piwoz Ellen,24800
31852600,Sullivan Lucy,28114
31852536,Olando Yvonne,22522
31852536,Kuria Mary,12980
31852536,Mathai Muthoni,15566
31852536,Huffman Mark D,8989
31851671,Broekhuis Femke,3131
31851671,Kamau Joseph,10295
31850686,Sanders Eduard J,26334
31850686,Cohen Myron,4420
31850686,Patel Pragna,24402
31850686,Rutstein Sarah E,26093
31850686,Ananworanich Jintanat,1104
31850398,Clancy Matthew S,4312
31850398,Cook-Deegan Robert,4540
31850398,Doerr Megan,5318
31850398,Federer Lisa,6165
31850398,Kariuki Thomas M,10766
31850398,Kittrie Elizabeth Robboy,12286
31850398,Mangravite Lara M,15135
31850398,Marincola Elizabeth,15268
31850398,Mietchen Daniel,16521
